Lake	Max depth	Area	Elevation	Stratification	Conductivity	MAAT	O2	pH	TP	TN	NO3	Ca	SO4	Cl	K	Na	Mg	Diol
Baldegg	66	5.2	463	yes	339.97	10.06	9	7.74	0.03	1.38	1.38	48.28	10.53	22.14	3.19	16.41	8.08	N
Brienz	259	29.8	259	yes	159.55	9.51	10.54	8.22	1.72	0.43	0.32	29.54	10.39	0.72	0.87	1	2.52	N
Burgasch	30	0.1916	465	yes	397.01	9.63	7.54	7.89	0.02	2.46	1.52	63.07	15.65	8.69	1.39	4.8	7.89	N
Cadagno	21	0.26	1921	yes	178.56	2.49	4.27	7.72	0.004	0.25	0.21	51.68	107.94	2.25	2.84	0.84	19.6	N
Egelsee	6	0.043	494	maybe	463.54	10.65	7.46	7.78	0.1	0.78	0.27	61.66	3.8	7.34	2.18	5.41	11.77	N
Engstlen	49.4	0.44	1850	yes	159.61	4.01	9.55	8.29	0.01	0.35	0.26	30.72	7.55	0.63	0.54	0.38	1.62	N
Glattalpsee	23	0.2	1850	yes	161.7	0.83	8.04	8.2	0.01	0.18	0.17	29.53	4.12	0	2.22	0.4	2.54	N
Hinterburgsee	11.4	0.037	1514	yes	218.11	3.24	6.93	7.91	0.03	1.03	0.5	41.6	0	0.58	0.05	1.21	2.17	N
Iffigsee	29	0.1	2065	yes	133.5	-0.08	10.22	8.18	0.01	0.28	0.43	22.98	6	0	0.21	0.17	4	N
Inkwilersee	5	0.3227	461.2	yes	462.3	9.61	8.14	7.81	0.11	3.04	2.52	78.98	13.5	11.16	2.23	7.05	8.6	N
Klontalerse	46	3.29	847	yes	183.2	7.21	10.31	7.86	0.01	0.02	0.2	33.77	7.36	0	0.25	0.41	2.68	N
Lac des Rousses	22	0.97	1059	yes	329.16	7.78	6.98	8	0.02	0.36	0.83	65.37	1.43	10.95	0.7	6.68	1.46	N
Mauensee	7	0.55	504	maybe	430	10	11.87	8.13	0.04	0.95	1.18	36.74	14.88	13.37	2.25	12.44	8.79	N
Morgins	2.9	0.02	1366	no	968	4.89	10.48	7.7	0.01	0.2	0.1	191.81	441	3.38	0.45	4.58	21.92	N
Oeschinen	56	1.15	1578	yes	143.78	6.94	9.22	8.32	0	0.27	0.21	25.2	8.09	11	0.08	0.12	2.69	N
Schwarz	10	0.47	1045	yes	478.86	7.89	6.86	8.19	0.03	0.57	0.24	76.19	76.19	0.89	0.6	2.1	5.45	N
Seelisberg	37	0.18	738	yes	188.8	8.75	9.56	8.9	0.05	0.53	0.13	34.66	4.06	1.85	0.68	1.37	2.18	N
Silvaplana	77	2.7	1791	yes	88.19	3.02	10.08	7.85	0.01	0		17.55	17.28	1.93	0.7	1.28	3.15	N
Soppen	27	0.249934	596	yes	348.14	9.51	8.57	8.16	0.06	1.73	0.42	60.17	6.78	9.8	3.31	6.98	6.36	N
St Moritz	44	0.78	1768	yes	158.21	2.36	9.17	8.17	0.01	0.56	0.22	20.89	35.02	2.81	0.68	1.64	3.54	N
Thun	217	47.927	558	yes	253.27	9.55	10.37	8.25	1.32	0.58	0.46	51.87	30.73	1.24	0.76	1.6	5.15	N
Trubsee	8	0.27	1766	maybe	109	2.1	9.57	8.81	0.02	0.64	0.39	24.45	9.17	0.13	0.13	0.24	0.49	N
Walen	151	24.1256	419	yes	218.01	9.75	10.65	8.25	4.17	0.48	0.47	41.83	17.2	1	0.4	1.31	4.75	N
Alzasca	40	0.13	1857	yes	15.1	3.64		6.85		0.29	0.27	1.98	2.34	0.16	0.43	0.49	0.21	Y
Biel	74	39.3	429	yes	328.26	10.37	10.09	8.21	0.01	1.37	1.09	56.89	25.58	7.18	1.79	5.59	6.53	Y
Brenet	18	0.8	1002	yes	275.77	7.47	7.76	8.25	0.02	0.53	0.06	48.75	2.22	9.4	1.03	6.09	2.29	Y
Constance	251	504.49	395	yes	316.14	10.4	10.37	8.3	7.18	0.88	0.76	47.29	32.76	6.22	1.32	4.96	8.06	Y
Davos	51	0.59	1559	yes	123	4.53	8.56	8.5	0	0		12.75	5.38	1.37	0.38	1.15	6.06	Y
Geneva	309	582.21	372	yes	287.91	12.95	10.6	8.26	0.01	0.52	0.39	43.42	47.48	9.84	1.7	6.5	5.92	Y
Great St Bernard	9	0.04	2447	maybe	51	0.36	7.88	8.3	0.01	0.03	0	6.75	6	1.05	0.64	1.4	0.49	Y
Greifen	32	8.447586	435	yes	479.73	10.73	7.93	8.04	0.04	1.45	1.28	33.28	13.19	29.71	3.96	25.62	13.79	Y
Hallwil	48	9.947	449	yes	324.62	10.04	10.73	8.25	0.01	1.09	0.38	42.31	10.66	16.57	2.85	14.02	8.61	Y
Huettwi	15	0.34617	434	yes	534.45	10.12	6.07	7.72	0.02	1.91	1.79	85.01	17.26	13.54	2.05	5.82	17.01	Y
Joux	32	8.77	1004	yes	291.78	7.31	8.88	8.31	0.01	0.47	0.13	53.81	2.02	8.65	0.96	5.61	2.38	Y
Lucern	151	24.041	434	yes	216.59	10.44	10.12	7.87	5.2	0.59	0.53	37.64	13.58	2.4	1	2.42	3.23	Y
Lugano (Lower)	95	20	271	yes	254.27	12.98	8.88	8.25	0.03	1.29	0.82	35.44	13.03	7.02	1.47	5.84	8.62	Y
Lungern	69	1.9911	689	yes	268.55	8.53	9.69	8.37	0	0.69	0.47	48.98	12.42	3.16	0.56	2.64	4.87	Y
Lutzelsee	6.3	0.13	500	maybe	478.04	10.61	8.08	7.98	0.06	0.65	0.56	65.86	3.57	5.87	1.8	4.25	13.92	Y
Maggiore	372	212.5115	193	yes	140.61	14.26	10.12	7.85	0.01	0.87	0.72	20.45	26.42	2.92	1.4	2.87	3.4	Y
Moossee	21.1	0.31	521	yes	600.53	9.77	6.74	7.74	0.02	4.09	3.46	56.91	23.66	14.53	2.43	10.78	12.22	Y
Murten	45	23	429	yes	430.3	10.85	9.53	8.19	15.68	2.51	2.16	57.75	15.89	20.04	3.11	12.77	10.78	Y
Neuchatel	152	217.9	429	yes	307.77	11.28	10.56	8.34	0.01	1.13	1.38	45.48	11.92	11.22	1.85	5.84	6.38	Y
Rot	16.5	0.4675	419	yes	282.36	10.33	6.51	7.81	0.07	0.86	0.36	28.9	11.6	7.33	1.21	3.61	3.82	Y
Saengeliweihe	3	0.010337	482	no	319.5	9.47	7.41	7.74	0.12	3.6	2.64	64.28	16.23	7.67	3.51	5.14	5.35	Y
Sarnen	51	7.147	469	yes	345.93	9.52	10.34	7.34	0	0.6	0.46	60.9	36.96	2.22	0.84	2.65	5.07	Y
Sempach	87	14.0897	504	yes	263	10.02	9.7	7.82	0.02	0.61	0.38	28.2	8.81	14.14	2.82	8.64	5.86	Y
Sils	71	4.1	1797	yes	81.2	2.99	9.95	8.06	0	0		15.93	17.67	1.83	0.93	1.26	2.34	Y
Taillere	8.5	0.44	1040	maybe	249.53	5.16	7.5	8.02	0.07	0.91	0.19	49.48	2.17	3.24	1.34	1.49	1.32	Y
Taney	31	0.18	1408	yes	157.9	4.64	11.6	8.46	0.01	0.14	0.09	34.58	2.26	0.6	0.26	0.35	1.95	Y
Tuerlerse	22.1	0.4987	643	yes	416.24	9.27	7.54	7.96	0.02	0.75		48.01	3.56	17.39	1.64	9.49	14.17	Y
Zug	197	38.32375	417	yes	238.36	11.56	9.24	8.33	0.03	0.17	0.2	31.76	4.91	8.94	1.57	5.5	6.89	Y
Zurich	136	66.607025	406	yes	269.93	10.53	10.12	8.13	0.01	1.18	0.55	44.64	14.11	4.66	1.26	4.31	5.67	Y
